"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 09 18:22:36 GMT 2023","Wed Aug 09 18:22:40 GMT 2023","4284","","AutomationPracticeFormPageObjects","","AutomationPracticeFormPageObjects","fillFormsTest","fillFormsTest(String, String, String, String, String, String) Fill form parametrized test",""
"passed","Wed Aug 09 18:22:40 GMT 2023","Wed Aug 09 18:22:44 GMT 2023","4191","","AutomationPracticeFormPageObjects","","AutomationPracticeFormPageObjects","fillFormsTest","fillFormsTest(String, String, String, String, String, String) Fill form parametrized test",""
"passed","Wed Aug 09 18:22:52 GMT 2023","Wed Aug 09 18:22:56 GMT 2023","3636","","AutomationPracticeFormPageObjects","","AutomationPracticeFormPageObjects","fillFormsTest","fillFormsTest(String, String, String, String, String, String) Fill form parametrized test",""
"passed","Wed Aug 09 18:22:56 GMT 2023","Wed Aug 09 18:23:00 GMT 2023","4008","","AutomationPracticeFormPageObjectsFaker","","AutomationPracticeFormPageObjectsFaker","fillFormsTest","Registration form tests with fake data",""
"passed","Wed Aug 09 18:23:04 GMT 2023","Wed Aug 09 18:23:07 GMT 2023","3266","","AutomationPracticeFormTests","","AutomationPracticeFormTests","fillFormsTest","fillFormsTest()",""
"passed","Wed Aug 09 18:22:44 GMT 2023","Wed Aug 09 18:22:48 GMT 2023","3943","","AutomationPracticeFormPageObjects","","AutomationPracticeFormPageObjects","fillFormsTest","fillFormsTest(String, String, String, String, String, String) Fill form parametrized test",""
"passed","Wed Aug 09 18:23:07 GMT 2023","Wed Aug 09 18:23:09 GMT 2023","1838","","TestBoxTests","","TestBoxTests","fillFormTest","fillFormTest()",""
"passed","Wed Aug 09 18:22:27 GMT 2023","Wed Aug 09 18:22:35 GMT 2023","8644","","AutomationPracticeFormPageObjects","","AutomationPracticeFormPageObjects","fillFormsTest","fillFormsTest(String, String, String, String, String, String) Fill form parametrized test",""
"passed","Wed Aug 09 18:22:48 GMT 2023","Wed Aug 09 18:22:52 GMT 2023","3962","","AutomationPracticeFormPageObjects","","AutomationPracticeFormPageObjects","fillFormsTest","fillFormsTest(String, String, String, String, String, String) Fill form parametrized test",""
"passed","Wed Aug 09 18:23:00 GMT 2023","Wed Aug 09 18:23:04 GMT 2023","3846","","AutomationPracticeFormPageObjectsFakerAllure","","AutomationPracticeFormPageObjectsFakerAllure","fillFormsTest","Registration form tests with fake data",""
